antecedents,consequents,support,confidence,lift
frozenset({'Ile_operacji:4'}),frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'dodatkowe_metody:medytacja', 'Ile_po_operacji:do pół roku', 'Czy_inne_metody:tak'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'dodatkowe_metody:medytacja', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku', 'Czy_inne_metody:tak'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku', 'Czy_inne_metody:tak'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'Rodzaj_operacji:laparoskopia', 'Ile_po_operacji:od pół roku do 1 roku', 'rozpoznania_pooperacyjne:endometrioza jajnika'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'Grupa_wiekowa:40-49 lat', 'Czy_operacja_zwiadowcza:nie', 'Rodzaj_operacji:laparoskopia'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'rozpoznania_pooperacyjne:endometrioza jajnika', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.08771929824561403,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'Rodzaj_operacji:laparoskopia', 'rozpoznania_pooperacyjne:endometrioza jajnika', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'rozpoznania_pooperacyjne:endometrioza jajnika', 'Czy_warzywa_i_owoce_5_porcji:tak', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_metody:nie', 'rozpoznania_pooperacyjne:endometrioza jajnika', 'Czy_operacja_zwiadowcza:nie', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.08771929824561403,1.0,2.1923076923076925
"frozenset({'Grupa_wiekowa:30-39 lat', 'Czy_inne_choroby:tak', 'Rodzaj_operacji:laparoskopia', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Czy_warzywa_i_owoce_5_porcji:tak', 'rozpoznania_pooperacyjne:głęboko naciekająca endometrioza (die)', 'zakres_operacji:adhezioliza'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Czy_warzywa_i_owoce_5_porcji:tak', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'Okres_dietetyk:ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Czy_operacja_zwiadowcza:nie', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'rozpoznania_pooperacyjne:mięśniaki macicy'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Grupa_wiekowa:30-39 lat', 'Czy_inne_choroby:tak', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Czy_operacja_zwiadowcza:nie', 'Czy_warzywa_i_owoce_5_porcji:tak', 'Okres_dietetyk:ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji', 'Czy_warzywa_i_owoce_5_porcji:tak', 'Czy_operacja_zwiadowcza:nie', 'rozpoznania_pooperacyjne:endometrioza jajnika'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'rozpoznania_pooperacyjne:endometrioza', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_inne_choroby:tak', 'Rodzaj_operacji:laparoskopia', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Czy_leczenie_hormonalne:tak -> ciągle do pół roku po operacji', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'rozpoznania_pooperacyjne:endometrioza jajnika'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'rozpoznania_pooperacyjne:endometrioza', 'Zdrowe_srodowisko (0 Nie, 1 Tak):1', 'Czy_operacja_zwiadowcza:nie', 'zakres_operacji:adhezioliza'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'rozpoznania_pooperacyjne:adenomioza', 'Zdrowe_srodowisko (0 Nie, 1 Tak):1', 'Czy_operacja_zwiadowcza:nie', 'zakres_operacji:adhezioliza'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'rozpoznania_pooperacyjne:zrosty', 'Czy_operacja_zwiadowcza:nie', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'rozpoznania_pooperacyjne:mięśniaki macicy'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Zdrowe_srodowisko (0 Nie, 1 Tak):1', 'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'zakres_operacji:adhezioliza'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku', 'zakres_operacji:adhezioliza'})",frozenset({'Czy_dolegliwosci:nie'}),0.08771929824561403,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'rozpoznania_pooperacyjne:zrosty', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'dodatkowe_metody:medytacja', 'Czy_operacja_zwiadowcza:nie', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.07017543859649122,1.0,2.1923076923076925
"frozenset({'Rodzaj_operacji:laparoskopia', 'Czy_operacja_zwiadowcza:nie', 'Zdrowe_srodowisko (0 Nie, 1 Tak):0', 'Ile_po_operacji:do pół roku'})",frozenset({'Czy_dolegliwosci:nie'}),0.08771929824561403,1.0,2.1923076923076925
